Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
PURE-BRED BREEDING HORSES,1012100,10.79,13.49,0.01,-43.18,1079,87.96,6.38,107900,-4.82,625,NOS
HORSES FOR POLO,1012910,0.54,15.37,0,0,0,0,-0.8,11489.36,0,0,NOS
OTHER HORSES,1012990,0.58,-2.04,0.03,-35.94,19.33,9.51,-0.39,5471.7,7.31,10000,NOS
PURE-BRED BREEDING ASSES,1013010,0,0,0,0,0,0,0,0,0,0,NOS
LIVESTOCK ASSES,1013020,0,0,0,0,0,0,0,0,0,0,NOS
MULES AND HINNIES AS LIVESTOCK,1019030,0,0,0,-50,0,0,0,0,-5.56,0,NOS
MULES&HINNIES OTHR THN LIVESTOCK,1019090,0,0,0,0,0,0,0,0,0,0,NOS
BULLS FOR PURE BRED BREEDING,1022110,0,-5.56,0,0,0,0,-5.56,0,0,0,NOS
OTHER CATTLES& INCLUDING CALVES,1022990,0.01,0,0,0,0,0,0,285.71,0,0,NOS
PURE-BRED BREEDING BUFFALOES,1023100,0,0,0,-50,0,0,0,0,-5.56,0,NOS
OTHER BUFFALOES,1023900,0,0,0,0,0,0,0,0,0,0,NOS
LIVE BOVINE ANMLS OTHR CATTLE AND BUFFALO PURE-BRED BREDNG,1029010,0,0,0,-50,0,0,0,0,-5.56,0,NOS
OTHERS (EXCLUDING CATTLE AND BUFFALOES) OTHER THAN PURE-BRED BREEDING,1029090,0.03,0,0,0,0,0,0,434.78,0,0,NOS
LIVE SWINE& PURE-BRED BREEDING,1031000,0,0,0,0,0,0,0,0,0,0,NOS
LIVE SWINE&OTHER THAN PURE BRED-BREEDING WEIGHING LESS THAN 50 KG,1039100,0.24,-0.15,0,0,0,0,1.17,2926.83,0,0,NOS
LIVE SWINE OTHER THAN PURE-BRED BREEDING WEIGHING 50 KG OR MORE,1039200,0,0,0,-50,0,0,0,0,-5.56,0,NOS
LIVE SHEEP AND LAMB FOR BREEDING PURPOSE,1041010,0.07,0,0,0,0,0,0,1707.32,0,0,NOS
OTHERS&EXCLDNG LIVE SHEEP AND LAMB FOR BRDNG PURPOSE,1041090,0,0,10.44,791.94,0,0,0,0,0.07,52.59,NOS
LIVE GOATS,1042000,0,0,8.02,4.26,0,0,0,0,0.47,54.87,NOS
FOWLS OF SPCS GALLUS DOMES WT<= 185 G,1051100,3.43,-0.18,0.43,90.22,7.98,15.81,1.01,66.01,-0.91,3.37,NOS
DUCKS WT<= 185 G,1051300,0,0,0,0,0,0,0,0,0,0,NOS
FOWLS OF THE SPECIES GALLUS DOMESTICUS OTH THAN OF HEADING 01051100,1059400,0,0,0.01,-33.33,0,0,0,0,-2,19.05,NOS
OTHER LIVE POULTRY WEIGHING > 185G,1059900,0,0,0.15,110.71,0,0,0,0,-0.05,3.46,NOS
MAMMALS OF THE ORDER PRIMATES,1061100,0.29,17.46,0,0,0,0,-1.85,150.34,0,0,NOS
WHALES&DOLPHINS AND PORPOISES (OF ORDER LETALEA); MANATEES AND DUGONGS (OF ORDR SIRENTA).,1061200,0,-5.56,0,0,0,0,-5.56,0,0,0,NOS
CAMELS AND OTHER CAMELIDS (CAMELIDAE),1061300,0,-5.56,0,0,0,0,-5.56,0,0,0,NOS
RABBITS AND HARES,1061400,0,0,0,0,0,0,0,0,0,0,NOS
OTHER MAMMALS,1061900,5.56,8.03,0.02,250,278,412.67,7.31,103.9,-22.27,6666.67,NOS
REPTILES (INCLUDING SNAKES AND TURTLES),1062000,1.24,92.86,0,0,0,0,-0.29,125.85,0,0,NOS
BIRDS OF PREY,1063100,0.24,19.44,0,0,0,0,-1.95,148.15,0,0,NOS
PSITTACIFORMES (INCLDNG PARROTS&PARAKEETS&MACAWS AND COCKATOOS),1063200,0,0,0,0,0,0,0,0,0,0,NOS
OTHER BIRDS,1063900,1.55,18.36,0,0,0,0,-2.11,120.7,0,0,NOS
BEES; PURELINE STOCK,1064110,0,0,0,0,0,0,0,0,0,0,NOS
OTHER BEES,1064190,0.01,0,0,0,0,0,0,33.56,0,0,NOS
OTHER INSECTS; PURELINE STOCK,1064910,0,0,0,0,0,0,0,0,0,0,NOS
OTHER INSECTS EXCL PURELINE STOCK,1064990,0,-5.56,0,0,0,0,-5.56,0,0,0,NOS
OTHER LIVE ANIMALS,1069000,1.05,-1.73,0,0,0,0,-0.77,124.38,0,0,NOS
CRCS AND HLF-CRCS OF BOVN ANMLS&FRSH OR CHLD,2011000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHR CUT OF BOVN ANML WTH BON IN&FRSH/CHLD,2012000,0,0,0,0,0,0,0,0,0,0,KGS
BONELESS MEAT OF BOVN ANMLS& FRSH OR CHLD,2013000,0,0,121.57,10.69,0,0,0,0,0.61,4.36,KGS
CRCS HALF-CRCS OF BOVN ANMLS& FROZEN,2021000,0,0,0.09,-10.29,0,0,0,0,0.81,3.57,0
OTHR CUT MEAT OF BOVN ANML&FRZN WTH BON IN,2022000,0,0,0.13,-4.65,0,0,0,0,2.1,3.42,KGS
BONELESS MEAT OF BOVINE ANIMALS & FROZEN,2023000,0,0,3665.07,10.13,0,0,0,0,0.9,3.34,KGS
CRCS AND HLF CRCS SWINE MEAT&FRESH OR CHLD,2031100,0,0,0,0,0,0,0,0,0,0,0
HAMS&SHLDR AND CUT OF SWINE&FRSH/CHLD&BON IN,2031200,0,0,0,0,0,0,0,0,0,0,KGS
OTHER MEAT OF SWINE&FRESH OR CHILLED,2031900,0.42,0.64,0,0,0,0,0.36,10.24,0,0,KGS
CARCASSES AND HLF-CARCASSES OF SWINE&FROZEN,2032100,0.02,-4.78,0,0,0,0,2.04,3.4,0,0,KGS
HAMS&SHLDR AND CUT OF SWINE&FRZN&WTH BONE IN,2032200,0.78,2.28,0,0,0,0,0.48,4.48,0,0,KGS
OTHER MEAT OF SWINE& FROZEN,2032900,3.2,4.04,0,0,0,0,-0.38,4.1,0,0,KGS
CRCS AND HALF-CRCS OF LAMB& FRSH OR CHLD,2041000,0,0,13.89,21.23,0,0,0,0,0.09,7.3,KGS
CRCS AND HLF CRCS OF SHEEP&FRSH OR CHLD,2042100,0,0,65.7,10.79,0,0,0,0,0.15,7.71,KGS
OTHR CUTS WITH BON IN OF SHEEP& FRSH/CHLD,2042200,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
BONELESS MEAT OF SHEEP& FRESH OR CHILLED,2042300,0,-5.56,0.08,190,0,0.08,-5.56,0,0.86,6.44,KGS
CARCASSES AND HALF-CARCASSES OF LAMB&FROZEN,2043000,0,-5.56,0,-50,0,0.08,-5.56,0,-5.56,0,KGS
CARCASSES AND HALF-CARCASSES OF SHEEP&FROZEN,2044100,0,0,2.66,50.76,0,0,0,0,2.52,7.58,KGS
